2026-06-14 17:36:17.189927,31.37,31.37,556.4,293,7.0,1882,26.2,19.8
2026-06-14 17:36:27.239815,31.37,31.37,557.0,293,7.0,1882,26.2,20.4
2026-06-14 17:36:37.285106,31.37,31.37,556.3,293,7.0,1882,26.2,19.8
2026-06-14 17:36:47.334807,31.37,31.37,556.4,293,7.0,1882,26.2,19.9
2026-06-14 17:36:57.380228,31.37,31.37,555.1,293,7.0,1882,26.2,19.8
2026-06-14 17:37:07.430000,31.37,31.37,555.4,293,7.0,1882,26.2,19.7
2026-06-14 17:37:17.479706,31.37,31.37,555.4,293,7.1,1882,26.2,20.3
2026-06-14 17:37:27.525032,31.37,31.37,555.5,293,7.1,1882,26.2,20.2
2026-06-14 17:37:37.574714,31.37,31.37,555.2,293,7.1,1882,25.0,19.9
2026-06-14 17:37:47.620084,31.37,31.37,555.1,293,7.1,1882,25.0,19.7
2026-06-14 17:37:57.669759,31.37,31.37,556.1,293,7.1,1882,25.0,20.3
2026-06-14 17:38:07.719514,31.37,31.37,556.5,293,7.1,1882,25.0,20.2
2026-06-14 17:38:17.764523,31.37,31.37,556.4,293,7.1,1882,25.0,20.3
2026-06-14 17:38:27.814632,31.37,31.37,555.0,293,7.1,1882,25.0,19.7
2026-06-14 17:38:37.859997,31.37,31.37,555.3,293,7.1,1882,25.0,19.6
2026-06-14 17:38:47.909725,31.37,31.37,556.2,293,7.1,1882,25.0,20.2
2026-06-14 17:38:57.959496,31.37,31.37,557.3,293,7.0,1882,25.0,20.3
2026-06-14 17:39:08.004916,31.37,31.37,555.5,293,6.9,1882,25.0,19.5
2026-06-14 17:39:18.054666,31.37,31.37,556.6,293,7.0,1882,25.0,19.8
2026-06-14 17:39:28.100010,31.37,31.37,555.8,293,6.9,1882,25.0,19.7
2026-06-14 17:39:38.149716,31.37,31.37,557.3,293,6.9,1882,25.0,20.5
2026-06-14 17:39:48.199440,31.37,31.37,558.3,293,7.0,1882,25.0,20.3
2026-06-14 17:39:58.244867,31.37,31.37,558.3,293,7.0,1882,25.0,20.4
2026-06-14 17:40:08.294655,31.37,31.37,557.1,293,7.0,1882,25.0,19.6
2026-06-14 17:40:18.340025,31.37,31.37,556.3,293,7.0,1882,25.0,19.6
2026-06-14 17:40:28.389705,31.37,31.37,556.7,293,7.1,1882,25.0,19.5
